12	11	E	-1.0529367161027988E7	97
probinit	1	0.0
probinit	2	0.0
emissionprobs	11	10	H4K20me1	0	0.9984391923797541
emissionprobs	11	10	H4K20me1	1	0.001560807620245912
emissionprobs	12	0	H2AZ	0	0.9909470089933679
emissionprobs	12	0	H2AZ	1	0.009052991006632125
emissionprobs	12	1	H3K27ac	0	0.9999123331326625
emissionprobs	12	1	H3K27ac	1	8.766686733741682E-5
emissionprobs	12	2	H3K27me3	0	0.6063371424844318
emissionprobs	12	2	H3K27me3	1	0.3936628575155683
emissionprobs	12	3	H3K36me3	0	0.9996359247811663
emissionprobs	12	3	H3K36me3	1	3.6407521883367134E-4
emissionprobs	12	4	H3K4me1	0	0.997917585131967
emissionprobs	12	4	H3K4me1	1	0.0020824148680329228
emissionprobs	12	5	H3K4me2	0	0.9991460175873021
emissionprobs	12	5	H3K4me2	1	8.539824126978295E-4
emissionprobs	12	6	H3K4me3	0	0.9999789501136946
emissionprobs	12	6	H3K4me3	1	2.1049886305399987E-5
emissionprobs	12	7	H3K79me2	0	0.9999190814675077
emissionprobs	12	7	H3K79me2	1	8.091853249231332E-5
emissionprobs	12	8	H3K9ac	0	0.9999739324175047
emissionprobs	12	8	H3K9ac	1	2.6067582495401583E-5
emissionprobs	12	9	H3K9me3	0	0.9856835932039475
emissionprobs	12	9	H3K9me3	1	0.014316406796052502
emissionprobs	12	10	H4K20me1	0	0.9926162215048074
emissionprobs	12	10	H4K20me1	1	0.007383778495192596
